[2025-04-07T21:28:49.514Z] User Banned | User: troubleuser#1234 (12345678901234567) | Executor: admin#5678 (98765432109876543) | Details: {"reason":"Repeated violations of server rules"}
[2025-04-08T17:06:37.020Z] Bounty Created | User: N/A | Executor: msg_com (1310286465955008603) | Details: {"robloxUsername":"55","robloxId":"55","amount":55,"clipRequired":true}
[2025-04-08T17:36:33.963Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"error: terminating connection due to administrator command\n    at Parser.parseErrorMessage (/home/runner/workspace/node_modules/pg-protocol/dist/parser.js:283:98)\n    at Parser.handlePacket (/home/runner/workspace/node_modules/pg-protocol/dist/parser.js:122:29)\n    at Parser.parse (/home/runner/workspace/node_modules/pg-protocol/dist/parser.js:35:38)\n    at TLSSocket.<anonymous> (/home/runner/workspace/node_modules/pg-protocol/dist/index.js:11:42)\n    at TLSSocket.emit (node:events:518:28)\n    at addChunk (node:internal/streams/readable:561:12)\n    at readableAddChunkPushByteMode (node:internal/streams/readable:512:3)\n    at Readable.push (node:internal/streams/readable:392:5)\n    at TLSWrap.onStreamRead (node:internal/stream_base_commons:191:23)"}
[2025-04-08T17:54:33.373Z] Messages Purged | User: N/A | Executor: gh_sman (930131254106550333) | Details: {"channel":"💲｜bountys","amount":29,"reason":"No reason provided"}
[2025-04-08T20:51:14.646Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError\n    at name (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:73:19)\n    at lexer (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:91:27)\n    at lexer.next (<anonymous>)\n    at Iter.peek (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:106:38)\n    at Iter.tryConsume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:112:28)\n    at Iter.text (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:128:30)\n    at consume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:152:29)\n    at parse (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:183:20)\n    at /home/runner/workspace/node_modules/path-to-regexp/dist/index.js:294:74\n    at Array.map (<anonymous>)"}
[2025-04-08T20:51:30.966Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError\n    at name (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:73:19)\n    at lexer (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:91:27)\n    at lexer.next (<anonymous>)\n    at Iter.peek (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:106:38)\n    at Iter.tryConsume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:112:28)\n    at Iter.text (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:128:30)\n    at consume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:152:29)\n    at parse (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:183:20)\n    at /home/runner/workspace/node_modules/path-to-regexp/dist/index.js:294:74\n    at Array.map (<anonymous>)"}
[2025-04-08T20:54:24.456Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError\n    at name (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:73:19)\n    at lexer (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:91:27)\n    at lexer.next (<anonymous>)\n    at Iter.peek (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:106:38)\n    at Iter.tryConsume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:112:28)\n    at Iter.text (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:128:30)\n    at consume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:152:29)\n    at parse (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:183:20)\n    at /home/runner/workspace/node_modules/path-to-regexp/dist/index.js:294:74\n    at Array.map (<anonymous>)"}
[2025-04-08T20:55:36.141Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError\n    at name (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:73:19)\n    at lexer (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:91:27)\n    at lexer.next (<anonymous>)\n    at Iter.peek (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:106:38)\n    at Iter.tryConsume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:112:28)\n    at Iter.text (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:128:30)\n    at consume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:152:29)\n    at parse (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:183:20)\n    at /home/runner/workspace/node_modules/path-to-regexp/dist/index.js:294:74\n    at Array.map (<anonymous>)"}
[2025-04-08T20:56:56.564Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError\n    at name (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:73:19)\n    at lexer (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:91:27)\n    at lexer.next (<anonymous>)\n    at Iter.peek (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:106:38)\n    at Iter.tryConsume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:112:28)\n    at Iter.text (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:128:30)\n    at consume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:152:29)\n    at parse (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:183:20)\n    at /home/runner/workspace/node_modules/path-to-regexp/dist/index.js:294:74\n    at Array.map (<anonymous>)"}
[2025-04-08T20:59:39.150Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError\n    at name (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:73:19)\n    at lexer (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:91:27)\n    at lexer.next (<anonymous>)\n    at Iter.peek (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:106:38)\n    at Iter.tryConsume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:112:28)\n    at Iter.text (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:128:30)\n    at consume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:152:29)\n    at parse (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:183:20)\n    at /home/runner/workspace/node_modules/path-to-regexp/dist/index.js:294:74\n    at Array.map (<anonymous>)"}
[2025-04-08T20:59:56.620Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError\n    at name (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:73:19)\n    at lexer (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:91:27)\n    at lexer.next (<anonymous>)\n    at Iter.peek (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:106:38)\n    at Iter.tryConsume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:112:28)\n    at Iter.text (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:128:30)\n    at consume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:152:29)\n    at parse (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:183:20)\n    at /home/runner/workspace/node_modules/path-to-regexp/dist/index.js:294:74\n    at Array.map (<anonymous>)"}
[2025-04-08T21:07:45.299Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError\n    at name (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:73:19)\n    at lexer (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:91:27)\n    at lexer.next (<anonymous>)\n    at Iter.peek (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:106:38)\n    at Iter.tryConsume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:112:28)\n    at Iter.text (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:128:30)\n    at consume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:152:29)\n    at parse (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:183:20)\n    at /home/runner/workspace/node_modules/path-to-regexp/dist/index.js:294:74\n    at Array.map (<anonymous>)"}
[2025-04-08T21:11:06.770Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError\n    at name (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:73:19)\n    at lexer (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:91:27)\n    at lexer.next (<anonymous>)\n    at Iter.peek (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:106:38)\n    at Iter.tryConsume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:112:28)\n    at Iter.text (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:128:30)\n    at consume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:152:29)\n    at parse (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:183:20)\n    at /home/runner/workspace/node_modules/path-to-regexp/dist/index.js:294:74\n    at Array.map (<anonymous>)"}
[2025-04-08T21:13:39.754Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError\n    at name (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:73:19)\n    at lexer (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:91:27)\n    at lexer.next (<anonymous>)\n    at Iter.peek (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:106:38)\n    at Iter.tryConsume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:112:28)\n    at Iter.text (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:128:30)\n    at consume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:152:29)\n    at parse (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:183:20)\n    at /home/runner/workspace/node_modules/path-to-regexp/dist/index.js:294:74\n    at Array.map (<anonymous>)"}
[2025-04-08T21:16:16.945Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError\n    at name (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:73:19)\n    at lexer (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:91:27)\n    at lexer.next (<anonymous>)\n    at Iter.peek (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:106:38)\n    at Iter.tryConsume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:112:28)\n    at Iter.text (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:128:30)\n    at consume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:152:29)\n    at parse (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:183:20)\n    at /home/runner/workspace/node_modules/path-to-regexp/dist/index.js:294:74\n    at Array.map (<anonymous>)"}
[2025-04-08T21:17:00.732Z] Fatal Error | User: N/A | Executor: System | Details: {"error":"TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError\n    at name (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:73:19)\n    at lexer (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:91:27)\n    at lexer.next (<anonymous>)\n    at Iter.peek (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:106:38)\n    at Iter.tryConsume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:112:28)\n    at Iter.text (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:128:30)\n    at consume (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:152:29)\n    at parse (/home/runner/workspace/node_modules/path-to-regexp/dist/index.js:183:20)\n    at /home/runner/workspace/node_modules/path-to-regexp/dist/index.js:294:74\n    at Array.map (<anonymous>)"}
